start_station_id,start_station_name,start_lat,start_lng
6806.06,35 Ave & 10 St,40.76315481910373,-73.93985509872437
6563.12,35 Ave & 37 St,40.7557327,-73.9236611
7170.04,35 St & 21 Ave,40.776745,-73.906558
7047.07,35 St & 23 Ave,40.77301508291382,-73.91119033098221
6887.03,35 St & 30 Ave,40.76547569244953,-73.91811579465866
6679.11,35 St & 34 Ave,40.7580583,-73.9242751
6750.16,35 St & Broadway,40.760339,-73.9222427
6737.03,36 Ave & 10 St,40.7614376,-73.9411265
6572.08,36 Ave & 31 St,40.75651272984955,-73.92957486212252
3460.02,36 St & 3 Ave,40.655716,-74.006664
3420.01,36 St & 4 Ave,40.654144,-74.00422
6143.01,36 St & 47 Ave,40.74221834996096,-73.92935156822205
7111.10,36 St & Ditmars Blvd,40.774306,-73.908335
5992.02,36 St & Hunters Point Ave,40.73781699881193,-73.93024072051048
6260.04,36 St & Queens Blvd,40.74408,-73.92901
6533.02,37 Ave & 106 St,40.75397,-73.862
6524.09,37 Ave & 113 St,40.75475,-73.8549
6529.02,37 Ave & 35 St,40.7531106,-73.9279917
6340.09,37 Ave & 63 St,40.74893,-73.89981
6981.16,37 St & 24 Ave,40.7701477,-73.9120938
6538.11,38 Ave & 29 St,40.75473,-73.93367
6850.01,38 St & 30 Ave,40.764174520197685,-73.91583994030952
6486.07,38 St & Northern Blvd,40.752372,-73.925384
6401.03,39 Ave & 45 St,40.74947822183477,-73.91826465725897
6392.02,39 Ave & 54 St,40.74891,-73.90899
6349.03,39 Ave & 56 St,40.74838,-73.90699
6380.10,39 Ave & 99 St,40.74962,-73.86677
6316.05,39 Dr & 52 St,40.74732,-73.91197
6143.05,39 St & 47 Ave,40.74215636827728,-73.92662644386292
6025.08,39 St & 50 Ave,40.73824937345944,-73.92737478017807
6218.04,39 St & Queens Blvd,40.74431,-73.92601
3739.06,4 Ave & 17 St,40.665507,-73.993037
3596.04,4 Ave & 26 St,40.660079,-73.998633
4028.04,4 Ave & 3 St,40.673746,-73.985649
3955.05,4 Ave & 9 St,40.6705135,-73.98876585
5788.15,4 Ave & E 12 St,40.732647,-73.99011
2832.03,4 Ave & Shore Road Dr,40.637033,-74.022141
6664.05,40 Ave & 9 St,40.75742,-73.945133
6462.05,40 Ave & Crescent St,40.7535992020056,-73.93795609474182
3388.03,40 St & 3 Ave,40.6535,-74.00902
6176.11,40 St & Queens Blvd,40.743540273428685,-73.92435193061829
6225.03,41 Ave & 67 St,40.74446,-73.89764
6290.06,41 Ave & 77 St,40.74557,-73.8882
6249.02,41 Ave & 80 St,40.74586,-73.88539
3388.02,41 St & 3 Ave,40.652512,-74.008906
3347.03,41 St & 4 Ave,40.651354,-74.007168
6371.03,42 Ave & 108 St,40.74944,-73.85792
6520.07,42 Pl & Northern Blvd,40.753091,-73.920603
3428.02,42 St & 1 Ave,40.654798,-74.014372
6405.03,43 Ave & 111 St,40.74955,-73.85464
6292.03,43 Ave & 40 St,40.74562,-73.92402
6251.06,43 Ave & 42 St,40.74534682580983,-73.9219419658184
6209.05,43 Ave & 47 St,40.7448062877224,-73.91728967428207
7009.06,43 St & 23 Ave,40.769673,-73.906018
6520.06,43 St & 35 Ave,40.754139,-73.919543
6401.01,43 St & 37 Ave,40.750181,-73.919998
5983.04,43 St & 50 Ave,40.73787237950538,-73.92264068126678
6670.03,43 St & Broadway,40.7577284,-73.9166368
6325.01,43 St & Skillman Ave,40.74692675687384,-73.9208248257637
6319.03,44 Dr & 21 St,40.748036,-73.946705
6352.01,44 Dr & Jackson Ave,40.74718234,-73.9432635
3356.05,44 St & 2 Ave,40.652502,-74.013587
3315.05,44 St & 3 Ave,40.651173,-74.011405
6058.08,44 St & 48 Ave,40.73941387498411,-73.92131969332695
6134.13,44 St & Greenpoint Ave,40.741119944681465,-73.92103672027588
6319.07,45 Ave & 21 St,40.74737075646803,-73.94777297973631
6319.01,45 Rd & 11 St,40.74708586,-73.94977234
3275.03,45 St & 4 Ave,40.649145,-74.009486
6286.02,46 Ave & 5 St,40.74731,-73.95451
6231.01,46 Ave & Junction Blvd,40.74399,-73.86781
6245.08,46 Rd & 11 St,40.745805,-73.950752
